WWC1,KRAS
RRN3,KRAS
CSNK1G1,KRAS
FARS2,KRAS
WASF3,KRAS
KCNMA1,KRAS
ANKH,KRAS
GRHL1,KRAS
RIDA,KRAS
GPR157,KRAS
LEXM,KRAS
FOXO4,KRAS
GTPBP2,KRAS
GSTA3,KRAS
CRABP1,KRAS
RREB1,KRAS
ACVRL1,KRAS
ENPP4,KRAS
OSBPL9,KRAS
PCSK2,KRAS
DET1,KRAS
EIF4G1,KRAS
IL5RA,KRAS
NR5A1,KRAS
ATP6V1B1,KRAS
PSMD6,KRAS
CLDN10,KRAS
LRRC39,KRAS
RAD9B,KRAS
JAK2,KRAS
EIF4G2,KRAS
TUBGCP5,KRAS
COX4I2,KRAS
PKD1L3,KRAS
BPIFA2,KRAS
VNN1,KRAS
EMG1,KRAS
FBXL2,KRAS
ADH7,KRAS
ARAF,KRAS
ANKFN1,KRAS
CRY2,KRAS
MFSD6,KRAS
KCTD3,KRAS
DCTN3,KRAS
ZNF33A,KRAS
EPRS1,KRAS
ADA2,KRAS
TOP2A,KRAS
ALKBH3,KRAS
CTAGE6,KRAS
ACOT11,KRAS
HBS1L,KRAS
WDR97,KRAS
NCAPD2,KRAS
GOSR1,KRAS
UBTF,KRAS
HIGD2A,KRAS
PDCD5,KRAS
PAFAH1B1,KRAS
GRAP2,KRAS
HSFX1,KRAS
ZNF512,KRAS
ZNF485,KRAS
CCNA2,KRAS
DICER1,KRAS
CXCL16,KRAS
TMED10,KRAS
AK9,KRAS
RIMS1,KRAS
LIG3,KRAS
GATA2,KRAS
EFL1,KRAS
CCDC82,KRAS
SULT4A1,KRAS
FBXW7,KRAS
GID8,KRAS
CYFIP1,KRAS
TRNT1,KRAS
FCRL3,KRAS
DCX,KRAS
RIOK1,KRAS
SPATA6L,KRAS
EAF1,KRAS
GP9,KRAS
MRPL30,KRAS
ESRRB,KRAS
DCLRE1A,KRAS
LEAP2,KRAS
GPN3,KRAS
DNAJC11,KRAS
ANKRD26,KRAS
GON4L,KRAS
ANKRD20A1,KRAS
COL24A1,KRAS
CACNG7,KRAS
CTSB,KRAS
C18ORF54,KRAS
ACTR1A,KRAS
CNKSR1,KRAS
GIMAP2,KRAS
CRY1,KRAS
NF2,KRAS
TAPBP,KRAS
FANCC,KRAS
CYBC1,KRAS
C12ORF56,KRAS
CKAP5,KRAS
DEFB118,KRAS
OR4E2,KRAS
HDAC9,KRAS
CDH5,KRAS
CYP1B1,KRAS
NDUFAF6,KRAS
CDC6,KRAS
ARHGAP36,KRAS
REX1BD,KRAS
WDR37,KRAS
IKBKB,KRAS
IL2RB,KRAS
GNGT1,KRAS
CTTNBP2NL,KRAS
TAF5,KRAS
AKR1A1,KRAS
FNDC9,KRAS
KIAA0408,KRAS
CLPX,KRAS
ESS2,KRAS
NAV3,KRAS
RSBN1,KRAS
CLMN,KRAS
CTC1,KRAS
ANXA5,KRAS
RRM1,KRAS
TBCD,KRAS
TUBGCP4,KRAS
HAUS4,KRAS
ZFYVE16,KRAS
ASPHD2,KRAS
TRIM36,KRAS
GPATCH1,KRAS
DUSP2,KRAS
FBXO36,KRAS
TWIST1,KRAS
SHCBP1L,KRAS
SLU7,KRAS
DTX4,KRAS
PALMD,KRAS
DRAM1,KRAS
C2ORF16,KRAS
PNPLA4,KRAS
EXOSC4,KRAS
CASP3,KRAS
S1PR5,KRAS
OIP5,KRAS
MTX2,KRAS
EMID1,KRAS
C8A,KRAS
RPS21,KRAS
SEH1L,KRAS
PON2,KRAS
CD81,KRAS
UBAP2L,KRAS
DDX39B,KRAS
KIF5C,KRAS
DACH1,KRAS
ITGA5,KRAS
ERBIN,KRAS
ZBTB8OS,KRAS
IL2RG,KRAS
AGTR1,KRAS
TEAD2,KRAS
POLM,KRAS
IYD,KRAS
INO80E,KRAS
FAM72B,KRAS
PACC1,KRAS
KLB,KRAS
FEZ2,KRAS
NQO2,KRAS
DYNLT3,KRAS
ABCB5,KRAS
UBE2R2,KRAS
GEMIN5,KRAS
DNAJB8,KRAS
FABP4,KRAS
AOX1,KRAS
SYPL2,KRAS
ZMAT1,KRAS
AKR1D1,KRAS
GRIP2,KRAS
AHCY,KRAS
KLHL8,KRAS
IFIT2,KRAS
OR9A2,KRAS
EIF2B2,KRAS
TTC39A,KRAS
PC,KRAS
ESR2,KRAS
CCHCR1,KRAS
ICOS,KRAS
TDRD7,KRAS
DPAGT1,KRAS
BUB3,KRAS
CDKN1A,KRAS
RUNX2,KRAS
EFNB3,KRAS
LRRC32,KRAS
FCGR1A,KRAS
GDF7,KRAS
AHCTF1,KRAS
MAGEH1,KRAS
CREG1,KRAS
FBXO40,KRAS
CHD7,KRAS
HSPA9,KRAS
CREBBP,KRAS
MAPK7,KRAS
NDC1,KRAS
CMTR1,KRAS
GLT8D2,KRAS
EEPD1,KRAS
GLI3,KRAS
ZC3H15,KRAS
NRDE2,KRAS
PROK1,KRAS
LAMB3,KRAS
STAR,KRAS
PSMA1,KRAS
H2BC8,KRAS
NOL4,KRAS
UBE2M,KRAS
KCNH4,KRAS
NAGLU,KRAS
PIP4K2A,KRAS
PLEKHS1,KRAS
PPIL1,KRAS
CDC27,KRAS
SLC25A2,KRAS
RCHY1,KRAS
COBLL1,KRAS
CRYL1,KRAS
REG1A,KRAS
JAK1,KRAS
C17ORF64,KRAS
SYNM,KRAS
CLSTN3,KRAS
FBXW11,KRAS
LOXL2,KRAS
CXXC4,KRAS
PSMB6,KRAS
BACH2,KRAS
IL22RA2,KRAS
CACNA2D2,KRAS
DDX46,KRAS
ZNF383,KRAS
ARMCX4,KRAS
FMN1,KRAS
BIRC3,KRAS
RSRP1,KRAS
PJVK,KRAS
ZNF550,KRAS
ERCC6L,KRAS
GTF2A1L,KRAS
AP2B1,KRAS
TTC7B,KRAS
RAP1GDS1,KRAS
TLNRD1,KRAS
DUSP16,KRAS
RIPOR3,KRAS
KCNV1,KRAS
KLRD1,KRAS
ARHGAP24,KRAS
FREM1,KRAS
DCTN4,KRAS
BAIAP2L2,KRAS
AGBL5,KRAS
LSM5,KRAS
DCAF1,KRAS
CDC25B,KRAS
PCLAF,KRAS
POLA1,KRAS
HOXC5,KRAS
ADORA2A,KRAS
NCL,KRAS
CDK1,KRAS
SLC17A7,KRAS
GALC,KRAS
GOT2,KRAS
CD82,KRAS
CSN1S1,KRAS
HCK,KRAS
AP4E1,KRAS
