,All_Type
CUL4B-NAE1,0
BLM-HIST2H2AA3,0
ETAA1-UBE2D3,1
FITM2-MMP19,1
ITGB7-POMC,0
SEC23IP-RAB1A,0
HRAS-IL10RA,0
KDSR-RGS19,0
PCMT1-RNF146,0
TRA2B-TSN,0
HNRNPD-HNRNPA1,0
POT1-RINT1,0
HECTD3-SRPRB,0
MCM3AP-PNN,0
CAMK1D-TYMS,0
EIF4G2-PELO,0
INHBA-LMBR1L,0
LIG1-RBM14,0
PTEN-ABAT,0
TP53-MAPKAPK2,0
FBXW7-TMEM65,0
ECHDC3-RALY,0
PPWD1-WDR77,0
CDK11B-NAE1,0
BCL10-MAP3K1,0
PARP1-RAD23B,0
PTTG1-DCXR,0
KDELR2-PTEN,0
NAE1-PJA1,0
BLM-RPE,0
RGS1-SLC4A2,0
BLM-CNP,0
PTTG1-SH3BP2,0
MUS81-YME1L1,0
CFH-FIP1L1,1
PTGS1-SETMAR,0
QSOX1-ZNF83,0
BAK1-MAPK1,0
SLCO4A1-TMEM184C,0
PRKDC-PTPRE,0
CTCF-TSSC1,0
GLE1-TMED2,0
CCDC84-RPL13,0
DDX10-KRAS,0
ETAA1-PCM1,1
MAP2K1-BLM,0
ABL1-RPL35,0
NRAS-TMEM177,1
KRAS-SMURF2,0
SKP2-TXN,0
KRAS-PPP6R3,0
GTF2E1-MED28,0
CUL3-NAE1,0
FLNA-PTEN,0
MRPL32-TUBGCP3,0
CASP5-SLC5A6,0
NUP54-RPP30,0
MAPKAP1-PELO,0
PAK4-TXNDC5,1
C3-RPA3,0
CDC25B-MANBA,0
CCT2-MSI2,0
ARPC4-HRAS,0
MAP3K7-HSPA4,0
MAP3K13-PDCD2,0
HRAS-MTR,0
CEBPB-SHPRH,0
NAE1-XPC,0
DHX35-PGM1,0
UBE2E1-KRAS,0
ATG4C-CDC25B,0
EIF4A1-PSMD1,0
MUS81-POLR3K,0
KRAS-MAML1,0
LACE1-PSMD4,0
AUP1-TPRG1L,0
KRAS-TRIM11,0
ANXA6-ABL1,0
CDC40-NFE2L1,0
CHEK2-CHEK1,1
DNASE1L3-NAE1,1
NAE1-YEATS2,0
MED14-NSMCE4A,0
CANT1-KCTD7,0
HRAS-NDUFA12,0
CENPK-PPAT,1
EIF5B-KIF17,0
HNRNPC-YBX1,0
PLK3-SLC29A1,0
HRAS-NDN,1
NXT2-PSMD10,0
NRAS-RRM1,0
CWC15-DHX29,0
